C_ID,C_NAME,C_EMAIL_ID,C_CONT_NO,C_ADDR,C_TYPE,M_ID
230,Mitchell,Harriette42@ymail.com,9961255787,2100 Block of 27TH AV,Internal Goods,31
3189,Reginald,Matthew951@yahoo.co.in,3555176867,300 Block of ELLIS ST,Wholesale,495
2216,Jaylene,Geraldine867@ymail.co.in,9835395970,1000 Block of MISSION ST,Retail,795
1904,Stacie,Brenda905@ymail.com,3881250181,800 Block of BRYANT ST,Internal Goods,33
7342,Jonathan,Malie282@gmail.com,1507211823,0 Block of DRUMM ST,Wholesale,882
7633,Italia,Fred847@google.co.in,5612381477,3RD ST / FOLSOM ST,Internal Goods,657
2154,Catherine,Clay224@gmail.com,8094222335,GOLDEN GATE AV / PARKER AV,Wholesale,761
5543,Pierre,Alaysha578@hotmail.com,4133741447,1400 Block of DEHARO ST,Wholesale,20
2332,Sheryl,Kelli519@gmail.com,4399641006,FOLSOM ST / 3RD ST,Retail,356
4094,Rory,Ryker154@hotmail.com,7077259810,0 Block of THRIFT ST,Internal Goods,301
3042,Cecile,Johnnie593@hotmail.com,1634188566,100 Block of GOLDEN GATE AV,Wholesale,450
2220,Monte,Zykeria36@google.co.in,6963794710,2400 Block of DIAMOND ST,Wholesale,782
4988,Belle,Selma775@yahoo.co.in,2644171337,FOLSOM ST / CESAR CHAVEZ ST,Wholesale,820
175,Rayshawn,Kathryn298@gmail.com,3057896481,100 Block of LELAND AV,Wholesale,316
4233,Abby,Karl167@google.co.in,3335480444,600 Block of CLEMENT ST,Internal Goods,945
4351,Alonzo,Freda331@yahoo.co.in,1772719208,400 Block of LEAVENWORTH ST,Internal Goods,174
5578,Ray,David216@ymail.com,3581081156,4400 Block of ANZA ST,Wholesale,634
4523,Tiffany,Winnifred436@gmail.com,9811567113,GEARY ST / TAYLOR ST,Wholesale,456
2972,Rosalind,Bryce535@google.co.in,7176117751,1500 Block of NEWCOMB AV,Wholesale,0
6153,Franklin,Maeve922@gmail.com,5362454917,ELLIS ST / JONES ST,Retail,186
